Time,Predicted_KWH,Off,machine_type
2026-02-24 07:00:00,1.3860764503479004,0,YWNC2_CONE
2026-02-24 07:00:00,0.6693463325500488,0,YWNC3_CUP
2026-02-24 07:00:00,1.002730131149292,0,YWNC3_CONE
2026-02-24 07:00:00,1.5629130601882935,0,YWNC2_CUP
2026-02-24 08:00:00,1.5648512840270996,0,YWNC2_CONE
2026-02-24 08:00:00,0.9035258889198303,0,YWNC3_CUP
2026-02-24 08:00:00,1.1750900745391846,0,YWNC3_CONE
2026-02-24 08:00:00,1.599628210067749,0,YWNC2_CUP
2026-02-24 09:00:00,1.5909136533737183,0,YWNC2_CONE
2026-02-24 09:00:00,1.210554838180542,0,YWNC3_CONE
2026-02-24 09:00:00,0.9832909107208252,0,YWNC3_CUP
2026-02-24 09:00:00,1.6267750263214111,0,YWNC2_CUP
2026-02-24 10:00:00,1.2392550706863403,0,YWNC3_CONE
2026-02-24 10:00:00,1.6269787549972534,0,YWNC2_CUP
2026-02-24 10:00:00,0.9228775501251221,0,YWNC3_CUP
2026-02-24 10:00:00,1.51335608959198,0,YWNC2_CONE
2026-02-24 11:00:00,1.4358991384506226,0,YWNC2_CONE
2026-02-24 11:00:00,0.8970100283622742,0,YWNC3_CUP
2026-02-24 11:00:00,1.1793378591537476,0,YWNC3_CONE
2026-02-24 11:00:00,1.5362837314605713,0,YWNC2_CUP
2026-02-24 12:00:00,0.9638984203338623,0,YWNC3_CUP
2026-02-24 12:00:00,1.570520281791687,0,YWNC2_CUP
2026-02-24 12:00:00,1.17156183719635,0,YWNC3_CONE
2026-02-24 12:00:00,1.4892646074295044,0,YWNC2_CONE
2026-02-24 13:00:00,1.187219262123108,0,YWNC3_CONE
2026-02-24 13:00:00,1.0090030431747437,0,YWNC3_CUP
2026-02-24 13:00:00,1.6032994985580444,0,YWNC2_CUP
2026-02-24 13:00:00,1.53458571434021,0,YWNC2_CONE
2026-02-24 14:00:00,1.53790283203125,0,YWNC2_CUP
2026-02-24 14:00:00,1.5576385259628296,0,YWNC2_CONE
2026-02-24 14:00:00,0.9784548878669739,0,YWNC3_CUP
2026-02-24 14:00:00,1.2104731798171997,0,YWNC3_CONE
2026-02-24 15:00:00,1.543915033340454,0,YWNC2_CONE
2026-02-24 15:00:00,1.4992727041244507,0,YWNC2_CUP
2026-02-24 15:00:00,1.0069944858551025,0,YWNC3_CUP
2026-02-24 15:00:00,1.1983681917190552,0,YWNC3_CONE
2026-02-24 16:00:00,1.529323935508728,0,YWNC2_CONE
2026-02-24 16:00:00,1.4805775880813599,0,YWNC2_CUP
2026-02-24 16:00:00,1.1902104616165161,0,YWNC3_CONE
2026-02-24 16:00:00,0.9957951307296753,0,YWNC3_CUP
2026-02-24 17:00:00,1.4626961946487427,0,YWNC2_CUP
2026-02-24 17:00:00,1.025400161743164,0,YWNC3_CUP
2026-02-24 17:00:00,1.532463788986206,0,YWNC2_CONE
2026-02-24 17:00:00,1.2073040008544922,0,YWNC3_CONE
2026-02-24 18:00:00,1.2131004333496094,0,YWNC3_CONE
2026-02-24 18:00:00,1.5878301858901978,0,YWNC2_CONE
2026-02-24 18:00:00,1.0557750463485718,0,YWNC3_CUP
2026-02-24 18:00:00,1.5094081163406372,0,YWNC2_CUP
2026-02-24 19:00:00,1.0697721242904663,0,YWNC3_CONE
2026-02-24 19:00:00,0.8959164023399353,0,YWNC3_CUP
2026-02-24 19:00:00,1.221084475517273,0,YWNC2_CUP
2026-02-24 19:00:00,1.357950210571289,0,YWNC2_CONE
2026-02-24 20:00:00,1.112781047821045,0,YWNC3_CONE
2026-02-24 20:00:00,1.4691553115844727,0,YWNC2_CONE
2026-02-24 20:00:00,0.9397400617599487,0,YWNC3_CUP
2026-02-24 20:00:00,1.4533904790878296,0,YWNC2_CUP
2026-02-24 21:00:00,1.1873174905776978,0,YWNC3_CONE
2026-02-24 21:00:00,1.5626469850540161,0,YWNC2_CUP
2026-02-24 21:00:00,0.9948502779006958,0,YWNC3_CUP
2026-02-24 21:00:00,1.5631392002105713,0,YWNC2_CONE
2026-02-24 22:00:00,1.1894515752792358,0,YWNC3_CONE
2026-02-24 22:00:00,1.544840693473816,0,YWNC2_CONE
2026-02-24 22:00:00,1.5722421407699585,0,YWNC2_CUP
2026-02-24 22:00:00,0.9947813749313354,0,YWNC3_CUP
2026-02-24 23:00:00,1.525373101234436,0,YWNC2_CUP
2026-02-24 23:00:00,1.191034197807312,0,YWNC3_CONE
2026-02-24 23:00:00,1.0098698139190674,0,YWNC3_CUP
2026-02-24 23:00:00,1.5259572267532349,0,YWNC2_CONE
2026-02-25 00:00:00,1.507309913635254,0,YWNC2_CUP
2026-02-25 00:00:00,1.1993095874786377,0,YWNC3_CONE
2026-02-25 00:00:00,1.0318611860275269,0,YWNC3_CUP
2026-02-25 00:00:00,1.5092227458953857,0,YWNC2_CONE
2026-02-25 01:00:00,1.218919038772583,0,YWNC3_CONE
2026-02-25 01:00:00,1.5335978269577026,0,YWNC2_CONE
2026-02-25 01:00:00,1.4800963401794434,0,YWNC2_CUP
2026-02-25 01:00:00,1.0437041521072388,0,YWNC3_CUP
2026-02-25 02:00:00,1.046605110168457,0,YWNC3_CUP
2026-02-25 02:00:00,1.2225980758666992,0,YWNC3_CONE
2026-02-25 02:00:00,1.4116042852401733,0,YWNC2_CUP
2026-02-25 02:00:00,1.5377496480941772,0,YWNC2_CONE
2026-02-25 03:00:00,1.209473729133606,0,YWNC3_CONE
2026-02-25 03:00:00,1.4379204511642456,0,YWNC2_CUP
2026-02-25 03:00:00,1.5811940431594849,0,YWNC2_CONE
2026-02-25 03:00:00,1.0272918939590454,0,YWNC3_CUP
2026-02-25 04:00:00,1.2123876810073853,0,YWNC3_CONE
2026-02-25 04:00:00,1.0219507217407227,0,YWNC3_CUP
2026-02-25 04:00:00,1.5480053424835205,0,YWNC2_CONE
2026-02-25 04:00:00,1.4573767185211182,0,YWNC2_CUP
2026-02-25 05:00:00,1.2004913091659546,0,YWNC3_CONE
2026-02-25 05:00:00,1.009472370147705,0,YWNC3_CUP
2026-02-25 05:00:00,1.409034013748169,0,YWNC2_CUP
2026-02-25 05:00:00,1.5184224843978882,0,YWNC2_CONE
2026-02-25 06:00:00,1.0995346307754517,0,YWNC2_CUP
2026-02-25 06:00:00,1.2205523252487183,0,YWNC2_CONE
2026-02-25 06:00:00,1.0460898876190186,0,YWNC3_CONE
2026-02-25 06:00:00,0.6441148519515991,0,YWNC3_CUP
