Time,Predicted_KWH,Off,machine_type
2026-02-23 07:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 07:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 07:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 07:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 08:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 08:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 08:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 08:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 09:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 09:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 09:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 09:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 10:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 10:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 10:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 10:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 11:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 11:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 11:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 11:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 12:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 12:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 12:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 12:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 13:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 13:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 13:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 13:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 14:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 14:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 14:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 14:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 15:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 15:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 15:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 15:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 16:00:00,0.5249999999987267,1,YWNC2_CONE
2026-02-23 16:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 16:00:00,0.42699999999786087,1,YWNC3_CONE
2026-02-23 16:00:00,0.4969999999993888,1,YWNC3_CUP
2026-02-23 17:00:00,0.5179999999973006,1,YWNC2_CUP
2026-02-23 17:00:00,0.4969999999993888,1,YWNC3_CUP
