shifted_time,Predicted_KWH,machine_type
2026-02-17,11.389523,YWNC2_CONE
2026-02-17,5.847526,YWNC3_CUP
2026-02-17,30.62658,YWNC3_CONE
2026-02-17,13.436776,YWNC2_CUP
2026-02-18,32.54191,YWNC2_CONE
2026-02-18,28.912657,YWNC3_CONE
2026-02-18,20.660425,YWNC3_CUP
2026-02-18,33.770653,YWNC2_CUP
2026-02-19,31.238855,YWNC3_CONE
2026-02-19,21.341532,YWNC3_CUP
2026-02-19,32.95073,YWNC2_CONE
2026-02-19,38.655552,YWNC2_CUP
2026-02-20,38.33396,YWNC2_CUP
2026-02-20,33.47073,YWNC2_CONE
2026-02-20,32.046688,YWNC3_CONE
2026-02-20,20.974073,YWNC3_CUP
2026-02-21,20.105669,YWNC3_CUP
2026-02-21,32.89272,YWNC2_CONE
2026-02-21,37.670483,YWNC3_CONE
2026-02-21,34.594982,YWNC2_CUP
2026-02-22,15.376009,YWNC2_CUP
2026-02-22,9.369033,YWNC3_CUP
2026-02-22,15.478924,YWNC2_CONE
2026-02-22,15.858387,YWNC3_CONE
2026-02-23,34.585556,YWNC2_CUP
2026-02-23,31.080414,YWNC2_CONE
2026-02-23,38.633564,YWNC3_CONE
2026-02-23,22.005417,YWNC3_CUP
