shifted_time,Predicted_KWH,machine_type
2026-02-19,18.040105615615175,YWNC2_CONE
2026-02-19,9.927146740914395,YWNC3_CUP
2026-02-19,9.034990346903214,YWNC3_CONE
2026-02-19,13.603853268643434,YWNC2_CUP
2026-02-20,33.322439074516296,YWNC2_CONE
2026-02-20,26.512043178081512,YWNC3_CONE
2026-02-20,24.43082571029663,YWNC3_CUP
2026-02-20,37.87234032154083,YWNC2_CUP
2026-02-21,25.54635500907898,YWNC3_CONE
2026-02-21,22.063120305538177,YWNC3_CUP
2026-02-21,32.14624071121216,YWNC2_CONE
2026-02-21,36.183032155036926,YWNC2_CUP
2026-02-22,19.36532057763543,YWNC2_CUP
2026-02-22,21.760914909362327,YWNC2_CONE
2026-02-22,13.948915084358305,YWNC3_CONE
2026-02-22,12.847007770062191,YWNC3_CUP
2026-02-23,22.620226621627808,YWNC3_CUP
2026-02-23,30.399272680282593,YWNC2_CONE
2026-02-23,25.91593509912491,YWNC3_CONE
2026-02-23,33.30237078666687,YWNC2_CUP
2026-02-24,35.398643255233765,YWNC2_CUP
2026-02-24,22.966929972171783,YWNC3_CUP
2026-02-24,32.97011375427246,YWNC2_CONE
2026-02-24,27.294982433319092,YWNC3_CONE
2026-02-25,34.328375816345215,YWNC2_CUP
2026-02-25,32.230992794036865,YWNC2_CONE
2026-02-25,26.67845380306244,YWNC3_CONE
2026-02-25,22.473585426807404,YWNC3_CUP
