shifted_time,Predicted_KWH,machine_type
2026-02-24,36.17590546607971,YWNC2_CONE
2026-02-24,23.07153010368347,YWNC3_CUP
2026-02-24,28.244831085205078,YWNC3_CONE
2026-02-24,35.75386953353882,YWNC2_CUP
2026-02-25,33.251526832580566,YWNC2_CONE
2026-02-25,27.276996552944183,YWNC3_CONE
2026-02-25,22.420130670070648,YWNC3_CUP
2026-02-25,34.42930567264557,YWNC2_CUP
2026-02-26,27.62785017490387,YWNC3_CONE
2026-02-26,24.153076946735382,YWNC3_CUP
2026-02-26,33.81299185752869,YWNC2_CONE
2026-02-26,37.29266273975372,YWNC2_CUP
2026-02-27,37.15557861328125,YWNC2_CUP
2026-02-27,31.790775060653687,YWNC2_CONE
2026-02-27,27.92620438337326,YWNC3_CONE
2026-02-27,23.967532455921173,YWNC3_CUP
2026-02-28,21.78413099050522,YWNC3_CUP
2026-02-28,29.58280074596405,YWNC2_CONE
2026-02-28,27.022879779338837,YWNC3_CONE
2026-02-28,34.72132122516632,YWNC2_CUP
2026-03-01,18.62940098090621,YWNC2_CUP
2026-03-01,14.36696616600966,YWNC3_CUP
2026-03-01,18.214437746981275,YWNC2_CONE
2026-03-01,15.839812797988998,YWNC3_CONE
2026-03-02,32.399609088897705,YWNC2_CUP
2026-03-02,31.1875661611557,YWNC2_CONE
2026-03-02,26.95647919178009,YWNC3_CONE
2026-03-02,22.88323277235031,YWNC3_CUP
