shifted_time,Predicted_KWH,machine_type
2026-02-23,28.876803016657504,YWNC2_CONE
2026-02-23,33.49783321666473,YWNC3_CUP
2026-02-23,24.565985675326374,YWNC3_CONE
2026-02-23,30.14909085940235,YWNC2_CUP
2026-02-24,32.86413538455963,YWNC2_CONE
2026-02-24,29.390971064567566,YWNC3_CONE
2026-02-24,38.674437284469604,YWNC3_CUP
2026-02-24,35.39856433868408,YWNC2_CUP
2026-02-25,28.785906732082367,YWNC3_CONE
2026-02-25,37.34511786699295,YWNC3_CUP
2026-02-25,32.064443588256836,YWNC2_CONE
2026-02-25,34.35667276382446,YWNC2_CUP
2026-02-26,35.891382575035095,YWNC2_CUP
2026-02-26,33.97500228881836,YWNC2_CONE
2026-02-26,29.02718472480774,YWNC3_CONE
2026-02-26,40.505321979522705,YWNC3_CUP
2026-02-27,40.37035262584686,YWNC3_CUP
2026-02-27,34.80642926692963,YWNC2_CONE
2026-02-27,29.55642807483673,YWNC3_CONE
2026-02-27,35.67087244987488,YWNC2_CUP
2026-02-28,32.09536266326904,YWNC2_CUP
2026-02-28,36.069609105587006,YWNC3_CUP
2026-02-28,34.029040813446045,YWNC2_CONE
2026-02-28,28.059162080287933,YWNC3_CONE
2026-03-01,17.01953841491195,YWNC2_CUP
2026-03-01,19.392359757403028,YWNC2_CONE
2026-03-01,15.695641083206283,YWNC3_CONE
2026-03-01,18.387435056676622,YWNC3_CUP
