datetime,energy_kWh,DayOfWeek,IsWeekend,Month,IsHoliday
18-08-2025,29.890375,0,0,8,0
19-08-2025,29.56666667,1,0,8,0
20-08-2025,32.83333333,2,0,8,0
21-08-2025,34.03333333,3,0,8,0
22-08-2025,32.73333333,4,0,8,0
23-08-2025,33.76666667,5,1,8,0
24-08-2025,13.7,6,1,8,0
25-08-2025,27.73333333,0,0,8,0
26-08-2025,41.97911601,1,0,8,0
27-08-2025,57.39470098,2,0,8,0
28-08-2025,62.54897426,3,0,8,0
29-08-2025,50.65216389,4,0,8,0
30-08-2025,57.26344444,5,1,8,0
31-08-2025,18.16526667,6,1,8,0
01-09-2025,32.08572083,0,0,9,0
02-09-2025,26.5,1,0,9,0
03-09-2025,26.66666667,2,0,9,0
04-09-2025,31.606,3,0,9,0
05-09-2025,30.781,4,0,9,0
06-09-2025,2.704,5,1,9,0
07-09-2025,3.113,6,1,9,0
08-09-2025,24.323,0,0,9,0
09-09-2025,31.185,1,0,9,0
10-09-2025,30.949,2,0,9,0
11-09-2025,29.395,3,0,9,0
12-09-2025,34.052,4,0,9,0
13-09-2025,26.459,5,1,9,0
14-09-2025,13.504,6,1,9,0
15-09-2025,34.254,0,0,9,0
16-09-2025,32.578,1,0,9,0
17-09-2025,30.639,2,0,9,0
18-09-2025,23.912,3,0,9,0
19-09-2025,31.745,4,0,9,0
20-09-2025,33.425,5,1,9,0
21-09-2025,13.425,6,1,9,0
22-09-2025,32.684,0,0,9,0
23-09-2025,33.658,1,0,9,0
24-09-2025,27.4,2,0,9,0
25-09-2025,28.469,3,0,9,0
26-09-2025,34.161,4,0,9,0
27-09-2025,23.498,5,1,9,0
28-09-2025,20.525,6,1,9,0
29-09-2025,24.407,0,0,9,0
30-09-2025,30.678,1,0,9,0
01-10-2025,13.273,2,0,10,1
02-10-2025,2.549,3,0,10,1
03-10-2025,36.409,4,0,10,0
04-10-2025,38.045,5,1,10,0
05-10-2025,4.163,6,1,10,0
06-10-2025,36.736,0,0,10,0
07-10-2025,37.253,1,0,10,0
08-10-2025,36.836,2,0,10,0
09-10-2025,26.047,3,0,10,0
10-10-2025,28.305,4,0,10,0
11-10-2025,29.672,5,1,10,0
12-10-2025,12.347,6,1,10,0
